"Ano","Turma","Disciplina","Notas"
"10.º","AV","Desenho A",12
"10.º","AV","Desenho A",17
"10.º","AV","Desenho A",14
"10.º","AV","Desenho A",12
"10.º","AV","Desenho A",19
"10.º","AV","Desenho A",18
"10.º","AV","Desenho A",17
"10.º","AV","Desenho A",14
"10.º","AV","Desenho A",14
"10.º","AV","Desenho A",15
"10.º","AV","Desenho A",15
"10.º","AV","Desenho A",16
"10.º","AV","Desenho A",16
"10.º","AV","Desenho A",14
"10.º","AV","Desenho A",14
"10.º","AV","Desenho A",14
"10.º","AV","Desenho A",17
"10.º","AV","Desenho A",13
"10.º","AV","Desenho A",14
"10.º","AV","Desenho A",12
"10.º","AV","Desenho A",12
"10.º","AV","Educação Física",14
"10.º","AV","Educação Física",19
"10.º","AV","Educação Física",16
"10.º","AV","Educação Física",12
"10.º","AV","Educação Física",13
"10.º","AV","Educação Física",19
"10.º","AV","Educação Física",19
"10.º","AV","Educação Física",20
"10.º","AV","Educação Física",19
"10.º","AV","Educação Física",19
"10.º","AV","Educação Física",9
"10.º","AV","Educação Física",18
"10.º","AV","Educação Física",17
"10.º","AV","Educação Física",10
"10.º","AV","Educação Física",16
"10.º","AV","Educação Física",20
"10.º","AV","Educação Física",11
"10.º","AV","Educação Física",14
"10.º","AV","Educação Física",16
"10.º","AV","Educação Física",13
"10.º","AV","Educação Física",16
"10.º","AV","Educação Moral e Religiosa",17
"10.º","AV","Educação Moral e Religiosa",18
"10.º","AV","Educação Moral e Religiosa",17
"10.º","AV","Educação Moral e Religiosa",17
"10.º","AV","Educação Moral e Religiosa",18
"10.º","AV","Educação Moral e Religiosa",19
"10.º","AV","Educação Moral e Religiosa",17
"10.º","AV","Educação Moral e Religiosa",17
"10.º","AV","Educação Moral e Religiosa",17
"10.º","AV","Educação Moral e Religiosa",18
"10.º","AV","Educação Moral e Religiosa",17
"10.º","AV","Educação Moral e Religiosa",17
"10.º","AV","Educação Moral e Religiosa",17
"10.º","AV","Educação Moral e Religiosa",17
"10.º","AV","Educação Moral e Religiosa",18
"10.º","AV","Educação Moral e Religiosa",17
"10.º","AV","Filosofia",10
"10.º","AV","Filosofia",14
"10.º","AV","Filosofia",9
"10.º","AV","Filosofia",8
"10.º","AV","Filosofia",13
"10.º","AV","Filosofia",18
"10.º","AV","Filosofia",11
"10.º","AV","Filosofia",9
"10.º","AV","Filosofia",11
"10.º","AV","Filosofia",11
"10.º","AV","Filosofia",11
"10.º","AV","Filosofia",12
"10.º","AV","Filosofia",11
"10.º","AV","Filosofia",14
"10.º","AV","Filosofia",14
"10.º","AV","Filosofia",17
"10.º","AV","Filosofia",11
"10.º","AV","Filosofia",10
"10.º","AV","Filosofia",8
"10.º","AV","Filosofia",11
"10.º","AV","Filosofia",9
"10.º","AV","Geometria Descritiva A",9
"10.º","AV","Geometria Descritiva A",17
"10.º","AV","Geometria Descritiva A",8
"10.º","AV","Geometria Descritiva A",8
"10.º","AV","Geometria Descritiva A",13
"10.º","AV","Geometria Descritiva A",20
"10.º","AV","Geometria Descritiva A",12
"10.º","AV","Geometria Descritiva A",10
"10.º","AV","Geometria Descritiva A",8
"10.º","AV","Geometria Descritiva A",9
"10.º","AV","Geometria Descritiva A",8
"10.º","AV","Geometria Descritiva A",9
"10.º","AV","Geometria Descritiva A",11
"10.º","AV","Geometria Descritiva A",12
"10.º","AV","Geometria Descritiva A",13
"10.º","AV","Geometria Descritiva A",13
"10.º","AV","Geometria Descritiva A",8
"10.º","AV","Geometria Descritiva A",10
"10.º","AV","Geometria Descritiva A",9
"10.º","AV","Geometria Descritiva A",8
"10.º","AV","Geometria Descritiva A",11
"10.º","AV","História da Cultura e das Artes",10
"10.º","AV","História da Cultura e das Artes",14
"10.º","AV","História da Cultura e das Artes",8
"10.º","AV","História da Cultura e das Artes",8
"10.º","AV","História da Cultura e das Artes",15
"10.º","AV","História da Cultura e das Artes",19
"10.º","AV","História da Cultura e das Artes",13
"10.º","AV","História da Cultura e das Artes",10
"10.º","AV","História da Cultura e das Artes",8
"10.º","AV","História da Cultura e das Artes",9
"10.º","AV","História da Cultura e das Artes",8
"10.º","AV","História da Cultura e das Artes",8
"10.º","AV","História da Cultura e das Artes",8
"10.º","AV","História da Cultura e das Artes",12
"10.º","AV","História da Cultura e das Artes",12
"10.º","AV","História da Cultura e das Artes",13
"10.º","AV","História da Cultura e das Artes",8
"10.º","AV","História da Cultura e das Artes",10
"10.º","AV","História da Cultura e das Artes",8
"10.º","AV","História da Cultura e das Artes",10
"10.º","AV","História da Cultura e das Artes",11
"10.º","AV","Inglês",8
"10.º","AV","Inglês",14
"10.º","AV","Inglês",12
"10.º","AV","Inglês",9
"10.º","AV","Inglês",14
"10.º","AV","Inglês",19
"10.º","AV","Inglês",15
"10.º","AV","Inglês",8
"10.º","AV","Inglês",12
"10.º","AV","Inglês",13
"10.º","AV","Inglês",13
"10.º","AV","Inglês",9
"10.º","AV","Inglês",16
"10.º","AV","Inglês",17
"10.º","AV","Inglês",13
"10.º","AV","Inglês",15
"10.º","AV","Inglês",10
"10.º","AV","Inglês",11
"10.º","AV","Inglês",9
"10.º","AV","Inglês",15
"10.º","AV","Inglês",14
"10.º","AV","Português",10
"10.º","AV","Português",13
"10.º","AV","Português",8
"10.º","AV","Português",10
"10.º","AV","Português",14
"10.º","AV","Português",17
"10.º","AV","Português",14
"10.º","AV","Português",10
"10.º","AV","Português",10
"10.º","AV","Português",8
"10.º","AV","Português",8
"10.º","AV","Português",10
"10.º","AV","Português",13
"10.º","AV","Português",10
"10.º","AV","Português",13
"10.º","AV","Português",8
"10.º","AV","Português",9
"10.º","AV","Português",8
"10.º","AV","Português",13
"10.º","AV","Português",9
"10.º","AV","Português Língua Não Materna",9
"10.º","CLH1","Alemão",16
"10.º","CLH1","Alemão",13
"10.º","CLH1","Alemão",19
"10.º","CLH1","Alemão",18
"10.º","CLH1","Alemão",11
"10.º","CLH1","Alemão",13
"10.º","CLH1","Alemão",19
"10.º","CLH1","Alemão",18
"10.º","CLH1","Alemão",13
"10.º","CLH1","Alemão",17
"10.º","CLH1","Alemão",18
"10.º","CLH1","Alemão",18
"10.º","CLH1","Alemão",14
"10.º","CLH1","Alemão",13
"10.º","CLH1","Alemão",18
"10.º","CLH1","Alemão",10
"10.º","CLH1","Alemão",18
"10.º","CLH1","Alemão",
"10.º","CLH1","Educação Física",14
"10.º","CLH1","Educação Física",16
"10.º","CLH1","Educação Física",17
"10.º","CLH1","Educação Física",18
"10.º","CLH1","Educação Física",19
"10.º","CLH1","Educação Física",18
"10.º","CLH1","Educação Física",13
"10.º","CLH1","Educação Física",18
"10.º","CLH1","Educação Física",17
"10.º","CLH1","Educação Física",15
"10.º","CLH1","Educação Física",15
"10.º","CLH1","Educação Física",14
"10.º","CLH1","Educação Física",16
"10.º","CLH1","Educação Física",18
"10.º","CLH1","Educação Física",18
"10.º","CLH1","Educação Física",14
"10.º","CLH1","Educação Física",15
"10.º","CLH1","Educação Física",15
"10.º","CLH1","Educação Física",14
"10.º","CLH1","Educação Física",7
"10.º","CLH1","Educação Física",18
"10.º","CLH1","Educação Física",16
"10.º","CLH1","Educação Física",
"10.º","CLH1","Educação Moral e Religiosa",16
"10.º","CLH1","Educação Moral e Religiosa",17
"10.º","CLH1","Educação Moral e Religiosa",18
"10.º","CLH1","Educação Moral e Religiosa",18
"10.º","CLH1","Educação Moral e Religiosa",16
"10.º","CLH1","Educação Moral e Religiosa",16
"10.º","CLH1","Educação Moral e Religiosa",17
"10.º","CLH1","Educação Moral e Religiosa",16
"10.º","CLH1","Educação Moral e Religiosa",15
"10.º","CLH1","Educação Moral e Religiosa",17
"10.º","CLH1","Educação Moral e Religiosa",17
"10.º","CLH1","Educação Moral e Religiosa",17
"10.º","CLH1","Educação Moral e Religiosa",18
"10.º","CLH1","Educação Moral e Religiosa",18
"10.º","CLH1","Educação Moral e Religiosa",18
"10.º","CLH1","Educação Moral e Religiosa",17
"10.º","CLH1","Educação Moral e Religiosa",18
"10.º","CLH1","Educação Moral e Religiosa",18
"10.º","CLH1","Educação Moral e Religiosa",18
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",9
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",8
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",14
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",7
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",10
"10.º","CLH1","Filosofia",8
"10.º","CLH1","Filosofia",11
"10.º","CLH1","Filosofia",7
"10.º","CLH1","Filosofia",13
"10.º","CLH1","Filosofia",13
"10.º","CLH1","Filosofia",
"10.º","CLH1","Geografia A",13
"10.º","CLH1","Geografia A",9
"10.º","CLH1","Geografia A",9
"10.º","CLH1","Geografia A",10
"10.º","CLH1","Geografia A",10
"10.º","CLH1","Geografia A",15
"10.º","CLH1","Geografia A",8
"10.º","CLH1","Geografia A",11
"10.º","CLH1","Geografia A",
"10.º","CLH1","Geografia A",
"10.º","CLH1","História A",11
"10.º","CLH1","História A",9
"10.º","CLH1","História A",14
"10.º","CLH1","História A",16
"10.º","CLH1","História A",10
"10.º","CLH1","História A",13
"10.º","CLH1","História A",14
"10.º","CLH1","História A",10
"10.º","CLH1","História A",9
"10.º","CLH1","História A",10
"10.º","CLH1","História A",9
"10.º","CLH1","História A",12
"10.º","CLH1","História A",16
"10.º","CLH1","História A",16
"10.º","CLH1","História A",13
"10.º","CLH1","História A",10
"10.º","CLH1","História A",10
"10.º","CLH1","História A",10
"10.º","CLH1","História A",15
"10.º","CLH1","História A",9
"10.º","CLH1","História A",15
"10.º","CLH1","História A",15
"10.º","CLH1","História A",
"10.º","CLH1","Inglês",11
"10.º","CLH1","Inglês",8
"10.º","CLH1","Inglês",18
"10.º","CLH1","Inglês",18
"10.º","CLH1","Inglês",10
"10.º","CLH1","Inglês",10
"10.º","CLH1","Inglês",16
"10.º","CLH1","Inglês",9
"10.º","CLH1","Inglês",7
"10.º","CLH1","Inglês",11
"10.º","CLH1","Inglês",11
"10.º","CLH1","Inglês",17
"10.º","CLH1","Inglês",17
"10.º","CLH1","Inglês",15
"10.º","CLH1","Inglês",12
"10.º","CLH1","Inglês",9
"10.º","CLH1","Inglês",9
"10.º","CLH1","Inglês",11
"10.º","CLH1","Inglês",16
"10.º","CLH1","Inglês",9
"10.º","CLH1","Inglês",17
"10.º","CLH1","Inglês",18
"10.º","CLH1","Inglês",
"10.º","CLH1","Literatura Portuguesa",15
"10.º","CLH1","Literatura Portuguesa",14
"10.º","CLH1","Literatura Portuguesa",7
"10.º","CLH1","Literatura Portuguesa",17
"10.º","CLH1","Literatura Portuguesa",14
"10.º","CLH1","Matemática Aplicada às Ciências Sociais",10
"10.º","CLH1","Matemática Aplicada às Ciências Sociais",16
"10.º","CLH1","Matemática Aplicada às Ciências Sociais",13
"10.º","CLH1","Matemática Aplicada às Ciências Sociais",10
"10.º","CLH1","Matemática Aplicada às Ciências Sociais",12
"10.º","CLH1","Matemática Aplicada às Ciências Sociais",16
"10.º","CLH1","Matemática Aplicada às Ciências Sociais",12
"10.º","CLH1","Matemática Aplicada às Ciências Sociais",8
"10.º","CLH1","Matemática Aplicada às Ciências Sociais",15
